City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,pangnirtung,66.1451,-65.7125,-3.0,74,75,6.17,CA,1715279160
156,corn island,12.1694,-83.0418,28.950000000000045,77,78,4.11,NI,1715279161
157,innisfail,-17.5333,146.0333,20.660000000000025,88,96,1.74,AU,1715279162
158,almaznyy,48.0448,40.045,10.340000000000032,41,100,2.89,RU,1715279164
159,geraldton,-28.7667,114.6,19.230000000000018,72,75,5.66,AU,1715279165
160,kokopo,-4.352,152.2633,24.590000000000032,87,94,1.38,PG,1715279166
161,yellowknife,62.456,-114.3525,16.29000000000002,29,20,5.36,CA,1715279059
162,sao miguel do araguaia,-13.275,-50.1628,33.379999999999995,31,6,3.44,BR,1715279169
163,belmonte,-15.8631,-38.8828,28.430000000000007,66,0,2.6,BR,1715279170
164,pisco,-13.7,-76.2167,21.120000000000005,88,100,4.12,PE,1715279171
165,ambilobe,-13.2,49.05,22.920000000000016,79,33,1.82,MG,1715279173
166,aripuana,-9.1667,-60.6333,34.55000000000001,40,11,2.23,BR,1715279174
167,kaitangata,-46.2817,169.8464,8.140000000000043,86,100,4.96,NZ,1715279175
168,lesnoy,57.6198,63.0784,1.5600000000000023,70,48,1.41,RU,1715279176
169,evensk,61.95,159.2333,-1.3899999999999864,78,100,1.59,RU,1715279178
170,sur,22.5667,59.5289,32.870000000000005,42,0,0.6,OM,1715279179
171,la ronge,55.1001,-105.2842,18.120000000000005,29,75,7.72,CA,1715279180
172,danielskuil,-28.1887,23.5395,20.02000000000004,30,5,4.21,ZA,1715279182
173,chunhuhub,19.55,-88.6833,38.950000000000045,25,98,2.76,MX,1715279183
174,avera,33.194,-82.5271,20.03000000000003,92,97,2.51,US,1715279184
175,ouallam,14.3188,2.0866,40.94,9,88,3.68,NE,1715279186
176,challapata,-18.9,-66.7667,16.310000000000002,32,7,4.27,BO,1715279187
177,olafsvik,64.8945,-23.7142,5.810000000000002,67,71,2.7,IS,1715279188
178,neepawa,50.2289,-99.4664,20.220000000000027,38,37,0.43,CA,1715279189
179,freetown,8.484,-13.2299,29.100000000000023,78,100,4.63,SL,1715279191
180,nome,64.5011,-165.4064,2.8700000000000045,75,0,0.0,US,1715279192
181,hovd,48.0056,91.6419,13.0,35,0,2.58,MN,1715279193
182,ugra,54.7777,34.3267,0.7200000000000273,66,55,2.82,RU,1715279194
183,upernavik,72.7868,-56.1549,-8.569999999999993,79,100,4.38,GL,1715279196
184,sembakung,3.8167,117.25,23.53000000000003,99,71,0.41,ID,1715279197
185,shakawe,-18.3667,21.85,21.460000000000036,24,1,2.06,BW,1715279198
186,upington,-28.4478,21.2561,25.210000000000036,31,40,2.57,ZA,1715279032
187,gwanda,-20.9333,29.0,17.28000000000003,51,0,2.32,ZW,1715279201
188,kruisfontein,-34.0033,24.7314,14.939999999999998,87,0,1.41,ZA,1715279202
189,grand gaube,-20.0064,57.6608,25.220000000000027,77,14,0.89,MU,1715279203
190,cacahuatepec,16.8861,-99.6106,27.760000000000048,39,62,3.49,MX,1715279205
191,paita,-5.0892,-81.1144,24.54000000000002,69,78,4.99,PE,1715279198
192,bumba,2.1833,22.4667,24.460000000000036,86,89,1.22,CD,1715279207
193,maragogi,-9.0122,-35.2225,27.680000000000007,75,84,4.51,BR,1715279209
194,kosa,59.9445,54.9977,-2.4399999999999977,86,98,3.53,RU,1715279210
